nummer;objekt;verwaltungsart;status
60;Lessingstraße 16;Mietverwaltung;archiv
61;Herzog-Wilhelm-Straße 115;WEG mit SE-Verwaltung;archiv
63;Auf dem Turm 4;Mietverwaltung;archiv
66;Friedhofstraße 12-16;Mietverwaltung;archiv
81;Roskaul 70-72;WEG-Verwaltung;archiv
82;Shalomweg 3;Mietverwaltung;aktiv
83;Kirchstraße 42a;WEG-Verwaltung;archiv
84;Ahrener Feld 39;WEG-Verwaltung;archiv
110;Mariadorfer Straße 20;Mietverwaltung;archiv
114;Rurdorferstraße 69;Mietverwaltung;archiv
133;Kohlenweg 14;WEG-Verwaltung;aktiv
134;Hubertusstraße 47;WEG-Verwaltung;archiv
137;Am Römerhof 10;Mietverwaltung;archiv
142;Am Römerhof 11+13;Mietverwaltung;archiv
147;Kämpchen 5;Mietverwaltung;archiv
148;Lintertstraße 54-56;Mietverwaltung;archiv
151;Hehler 8 a+b;Mietverwaltung;archiv
193;Hagelkreuzstraße 15;Mietverwaltung;archiv
195;Im Grund 102;WEG-Verwaltung;archiv
203;Weberstraße 2,4+6;Mietverwaltung;aktiv
216;Haagstraße 32;Mietverwaltung;aktiv
219;Kirchstraße 10;Mietverwaltung;archiv
222;Haagstraße 39-43;Mietverwaltung;archiv
255;Heinestraße 30;Mietverwaltung;archiv
291;Schadestraße 3a;Mietverwaltung;abrechnung
292;Römerstraße 44;Mietverwaltung;archiv
303;Kaiserstraße 34;Mietverwaltung;archiv
304;Beecker Str. 24;WEG-Verwaltung;archiv
332;Mühlenstraße 55;WEG mit SE-Verwaltung;archiv
334;Hermann-Löns-Str. 20;WEG-Verwaltung;aktiv
336;Gladbacher Straße 95;WEG-Verwaltung;aktiv
338;Corneliushof 79 Erkelenz Frank Beckers;Mietverwaltung;archiv
342;Aachener Straße 119 (GmbH);Mietverwaltung;aktiv
343;Hofstraße 175 Mönchengladbach Grundbesitz Mönchengladbach GmbH;Mietverwaltung;aktiv
345;Theodor Heuss Straße 45 Erkelenz Frank Beckers;Mietverwaltung;archiv
346;Theodor Heuss Straße 38 + 40 Erkelenz Frank Beckers;Mietverwaltung;archiv
347;Nachtigallenweg 32+34;WEG-Verwaltung;archiv
348;Unterheydener Str. 93;WEG mit SE-Verwaltung;archiv
357;Neusser Str. 79;WEG-Verwaltung;archiv
359;Brunnenstraße 145;WEG-Verwaltung;archiv
361;Im Weidenfeld 21;Mietverwaltung;archiv
377;Am Königsberg 30a;Mietverwaltung;archiv
382;Südwall 111-113, 41179 Mönchengladbach;WEG-Verwaltung;archiv
386;Schlachthofstraße 83;WEG-Verwaltung;archiv
388;Netter Kirchweg 13-15;WEG-Verwaltung;archiv
391;Weidenbruch 1-3;WEG mit SE-Verwaltung;archiv
394;In Gerderhahn 105;WEG-Verwaltung;archiv
402;Flachsbleiche 7a;WEG-Verwaltung;archiv
406;Hauptstraße 9 A-C;WEG-Verwaltung;archiv
408;Hermannstraße 16;WEG-Verwaltung;archiv
409;Kirchhofstraße 23;WEG-Verwaltung;archiv
412;Gierlichsstraße 14 Herzogenrath;WEG-Verwaltung;archiv
413;Gladbacher Straße 32;WEG-Verwaltung;archiv
417;Kennedystraße 39;WEG-Verwaltung;archiv
429;Beecker Str. 104;WEG-Verwaltung;archiv
433;Erkensruhr 210;WEG-Verwaltung;aktiv
435;Kapellenstraße 202 Baesweiler;Mietverwaltung;archiv
436;Ahrenerfeld 43;WEG-Verwaltung;archiv
438;Lelei 28 Essen;WEG-Verwaltung;archiv
439;Pützdorfer Straße 32 - 42;Mietverwaltung;archiv
442;Graf-Reinald-Str. 34, 36, 38, 40, 42, 41812 Erkelenz;Mietverwaltung;aktiv
443;Bochumer Straße 15;WEG-Verwaltung;archiv
444;Josefstr. 45;WEG-Verwaltung;aktiv
451;Gewerbestraße Süd 30;Mietverwaltung;aktiv
452;Gartenstraße 69 Mönchengladbach;Mietverwaltung;archiv
455;Antoniusstraße 27;Mietverwaltung;archiv
457;Mülgaustr. 326;WEG-Verwaltung;aktiv
460;Sternstr. 2-18;WEG mit SE-Verwaltung;archiv
462;WEG Kesselstraße 58-60;WEG-Verwaltung;archiv
463;Steinsstraße 160;WEG-Verwaltung;archiv
464;Oidtmannhof 85 + 86;Mietverwaltung;aktiv
465;WEG Kirchplatz 16 41812 Erkelenz;WEG-Verwaltung;archiv
467;Am Panke Park 67-85 H5;WEG mit SE-Verwaltung;aktiv
468;WEG Goswinstrasse 70 Erkelenz;WEG-Verwaltung;archiv
469;Am Panke Park 35-53 H3;WEG mit SE-Verwaltung;aktiv
470;Am Panke Park 1-21 H1 16321 Bernau;WEG mit SE-Verwaltung;aktiv
471;Franz-Nekes-Straße 17;WEG-Verwaltung;archiv
472;WEG Tenholterstraße 74a;WEG-Verwaltung;aktiv
473;Wagnerweg 11;Mietverwaltung;archiv
475;Mauerstraße 46;WEG-Verwaltung;archiv
476;Hauptstraße 14-20;WEG-Verwaltung;archiv
477;WEG Burgstraße 58 Eschweiler;WEG-Verwaltung;aktiv
481;Nesselrodestraße 109;WEG-Verwaltung;archiv
482;WEG Neusser Straße 275 u 277 in 41065  Mönchengladbac;WEG-Verwaltung;archiv
483;Massolleweg 4, 4a-e;Mietverwaltung;archiv
484;Bastianstraße 19;Mietverwaltung;aktiv
488;Lenzelpfad 1-41;WEG-Verwaltung;archiv
490;Hüttenweg 14;WEG mit SE-Verwaltung;aktiv
491;WEG Illigstr 59;WEG-Verwaltung;aktiv
492;Burgunder Strasse 39;WEG mit SE-Verwaltung;aktiv
493;Richard-Wagner-Str. 8/9;WEG-Verwaltung;aktiv
494;Neukircher Str. 19  Tettnang;WEG-Verwaltung;aktiv
495;Auf der Tenne 2;WEG-Verwaltung;aktiv
496;Viersener Str. 112;Mietverwaltung;archiv
497;Rheydter Straße 266 und 268, Prof. Otten;Mietverwaltung;archiv
498;Raderbroich 7c, Prof. Otten;Mietverwaltung;archiv
499;Schenkendorfstraße 6;WEG-Verwaltung;archiv
500;Edisonstraße 45;WEG-Verwaltung;archiv
501;Erkelenzer Str. 49 Hückelhoven;Mietverwaltung;archiv
502;WEG Tenholterstraße 74;WEG-Verwaltung;aktiv
503;R31 Rigaer Straße 31;Mietverwaltung;abrechnung
504;Barbarossastr. 27;WEG-Verwaltung;aktiv
505;Kleiner Seeweg 1-14;WEG-Verwaltung;aktiv
506;Aachenerstraße 21, 23, 23a;Mietverwaltung;aktiv
507;Heiligenberger Straße 5 10318 Berlin;WEG-Verwaltung;aktiv
508;Eintrachtstraße 3;WEG mit SE-Verwaltung;aktiv
509;Lünkerhohl 35-37;WEG mit SE-Verwaltung;aktiv
510;WEG Borgäcker 10;WEG mit SE-Verwaltung;aktiv
511;Giesendahl 5-11;WEG mit SE-Verwaltung;aktiv
512;Fahlenberg 23a Linnich;Mietverwaltung;aktiv
513;Fahlenberg 23, Linnich;Mietverwaltung;aktiv
515;Ringstraße 65 Gelsenkirchen;Mietverwaltung;aktiv
516;Zeppelinstraße 18-20 in Remscheid;WEG mit SE-Verwaltung;aktiv
517;Friedrichshafen Scheffelstr. 33;WEG mit SE-Verwaltung;aktiv
519;Sammletshoferstraße 17;WEG mit SE-Verwaltung;aktiv
520;Großbeerenstraße 4;Mietverwaltung;aktiv
521;Wollmatinger Str. 18 u 20;WEG-Verwaltung;aktiv
522;Konstanzer Str. 16 A;WEG-Verwaltung;aktiv
523;WEG Erkelenzer Straße 127;WEG-Verwaltung;aktiv
524;Teuringer Str. 29 und 31;WEG-Verwaltung;aktiv
525;Bayerische Straße 27;WEG mit SE-Verwaltung;aktiv
526;Färberstraße 106;WEG mit SE-Verwaltung;aktiv
527;WEG Stockackerweg 25/27;WEG-Verwaltung;aktiv
528;Spessartstraße 28;Mietverwaltung;aktiv
529;Kaiserstraße 77 u. 79, Windmühlenstraße 31;Mietverwaltung;aktiv
531;Giesenkirchener Str. 124 und 126;WEG-Verwaltung;aktiv
532;Aachener Straße 25, Erkelenz;WEG-Verwaltung;aktiv
533;Vorstadt 15 / 15a;WEG-Verwaltung;aktiv
550;WEG Holzstr 46 52349 Düren;WEG-Verwaltung;aktiv
551;WEG Hohenzollernstr. 66-68 Düren;WEG-Verwaltung;aktiv
552;Raiffeisenstr. 11-15 Stolberg;Mietverwaltung;aktiv
553;Breuershäuschen 69;WEG-Verwaltung;aktiv
554;Breuershäuschen 71;WEG-Verwaltung;aktiv
555;Auweg 55;WEG-Verwaltung;aktiv
600;Fontanestr. 7;WEG mit SE-Verwaltung;aktiv
602;Am Fließ 6;Mietverwaltung;aktiv
603;Ladeburger Str. 5;Mietverwaltung;aktiv
604;WEG Wetschewell 46-48;WEG-Verwaltung;aktiv
605;Wacholderstr. 28;Mietverwaltung;aktiv
607;Leostr. 9, 51145 Köln;WEG-Verwaltung;aktiv
999;Fake Obj. Frank Beckers;WEG-Verwaltung;archiv
2911;Schadestraße 3;Mietverwaltung;abrechnung
10012;Am Bildchen 9;Mietverwaltung;archiv
10013;Christophorusstraße 2;Mietverwaltung;archiv
10014;Friedhofstraße 17;Mietverwaltung;aktiv
